"CI","p.value","adj.p.value","test","graph","rejected"
"Erk _||_ PKA | Akt",0.966844726755518,0.966844726755518,"gcm","PC",FALSE
"JNK _||_ p38 | PKC",3.73500486094969e-09,7.47000972189937e-09,"gcm","PC",TRUE
"Erk _||_ PKA | Akt",3.58029713654062e-08,7.16059427308124e-08,"pcm","PC",TRUE
"JNK _||_ p38 | PKC",0.000394984844855673,0.000394984844855673,"pcm","PC",TRUE
"Akt _||_ Erk | Mek",0,0,"gcm","LLM",TRUE
"Akt _||_ Erk | Raf",0,0,"gcm","LLM",TRUE
"Akt _||_ JNK | PKC",0.904930263741122,1,"gcm","LLM",FALSE
"Akt _||_ JNK | PLCg",0.779695718977623,1,"gcm","LLM",FALSE
"Akt _||_ JNK | PIP3",0.504442345582854,1,"gcm","LLM",FALSE
"Akt _||_ Mek | Raf",0.676018712178182,1,"gcm","LLM",FALSE
"Akt _||_ PIP2 | PIP3",0.0980092923886037,1,"gcm","LLM",FALSE
"Akt _||_ PKC | PLCg",0.738481747663265,1,"gcm","LLM",FALSE
"Akt _||_ PKC | PIP3",0.241209209500607,1,"gcm","LLM",FALSE
"Akt _||_ PLCg | PIP3",0.606014726099804,1,"gcm","LLM",FALSE
"Akt _||_ p38 | PKC",0.70227104887894,1,"gcm","LLM",FALSE
"Akt _||_ p38 | PLCg",0.450991505362871,1,"gcm","LLM",FALSE
"Akt _||_ p38 | PIP3",0.379026552750661,1,"gcm","LLM",FALSE
"Erk _||_ JNK | PKC",0.857668936577826,1,"gcm","LLM",FALSE
"Erk _||_ JNK | Raf",0.926787510063555,1,"gcm","LLM",FALSE
"Erk _||_ JNK | Mek",0.694827824946402,1,"gcm","LLM",FALSE
"Erk _||_ PIP2 | PIP3",0.0173998932915416,1,"gcm","LLM",FALSE
"Erk _||_ PIP2 | Akt, PLCg",0.0635160510983706,1,"gcm","LLM",FALSE
"Erk _||_ PIP2 | Akt, PKC",0.920528987098871,1,"gcm","LLM",FALSE
"Erk _||_ PIP2 | Raf",0.188860534236239,1,"gcm","LLM",FALSE
"Erk _||_ PIP2 | Mek",0.277928464294222,1,"gcm","LLM",FALSE
"Erk _||_ PIP3 | Akt, PLCg",0.892868501190592,1,"gcm","LLM",FALSE
"Erk _||_ PIP3 | Akt, PKC",0.21415245994396,1,"gcm","LLM",FALSE
"Erk _||_ PIP3 | Raf",0.686985427991076,1,"gcm","LLM",FALSE
"Erk _||_ PIP3 | Mek",0.265931091052243,1,"gcm","LLM",FALSE
"Erk _||_ PKA | Raf",0,0,"gcm","LLM",TRUE
"Erk _||_ PKA | Mek",0,0,"gcm","LLM",TRUE
"Erk _||_ PKC | Raf",0.849798129311811,1,"gcm","LLM",FALSE
"Erk _||_ PKC | Mek",0.711678926215889,1,"gcm","LLM",FALSE
"Erk _||_ PLCg | PIP3, PKC",0.877927269414092,1,"gcm","LLM",FALSE
"Erk _||_ PLCg | Akt, PKC",0.972496555873908,1,"gcm","LLM",FALSE
"Erk _||_ PLCg | Raf",0.52021989841468,1,"gcm","LLM",FALSE
"Erk _||_ PLCg | Mek",0.0702261655388915,1,"gcm","LLM",FALSE
"Erk _||_ Raf | Mek",0.101014773316806,1,"gcm","LLM",FALSE
"Erk _||_ p38 | PKC",0.95560522179281,1,"gcm","LLM",FALSE
"Erk _||_ p38 | Raf",0.442822915314634,1,"gcm","LLM",FALSE
"Erk _||_ p38 | Mek",0.845499358064506,1,"gcm","LLM",FALSE
"JNK _||_ Mek | Raf",0.105116598375683,1,"gcm","LLM",FALSE
"JNK _||_ Mek | PKC",0.0328894388449839,1,"gcm","LLM",FALSE
"JNK _||_ PIP2 | PIP3",0.471111743986728,1,"gcm","LLM",FALSE
"JNK _||_ PIP2 | PLCg",0.962049859273123,1,"gcm","LLM",FALSE
"JNK _||_ PIP2 | PKC",0.361428413254142,1,"gcm","LLM",FALSE
"JNK _||_ PIP3 | PLCg",0.900674626289082,1,"gcm","LLM",FALSE
"JNK _||_ PIP3 | PKC",0.0318609064339312,1,"gcm","LLM",FALSE
"JNK _||_ PLCg | PKC",0.523231539483863,1,"gcm","LLM",FALSE
"JNK _||_ Raf | PKC",0.720527680751415,1,"gcm","LLM",FALSE
"JNK _||_ p38 | PKC",2.68912492273898e-09,2.01684369205424e-07,"gcm","LLM",TRUE
"Mek _||_ PIP2 | PIP3",0.789095873194717,1,"gcm","LLM",FALSE
