graph,test,n_cis_tested,falsified,CI,p.value,adj.p.value
Agent,gcm,39,FALSE,Akt _||_ JNK | PKC,0.9162283154279569,1
Agent,gcm,39,FALSE,Erk _||_ Mek | PLCg,0.2933541889501947,1
Agent,gcm,39,FALSE,Erk _||_ Mek | PIP2,0.005941184561105484,0.23170619788311386
Agent,gcm,39,FALSE,Erk _||_ PLCg | PIP2,0.5619526491014353,1
Agent,gcm,39,FALSE,Erk _||_ Raf | Mek,0.10016029176560459,1
Agent,gcm,39,FALSE,Erk _||_ Raf | PLCg,0.5169744675443405,1
Agent,gcm,39,FALSE,Erk _||_ Raf | PIP2,0.47751201192167825,1
Agent,gcm,39,FALSE,Erk _||_ p38 | PKA,0.4990407325136982,1
Agent,gcm,39,FALSE,JNK _||_ PIP3 | Akt,0.23212282005273244,1
Agent,gcm,39,FALSE,JNK _||_ PIP3 | PKC,0.030788219219439306,1
Agent,gcm,39,FALSE,Mek _||_ PIP2 | PLCg,0.9574141151175295,1
Agent,gcm,39,FALSE,Mek _||_ PKA | Erk,0.571994105245965,1
Agent,gcm,39,FALSE,Mek _||_ PKA | PIP2,0.47792399647903694,1
Agent,gcm,39,FALSE,Mek _||_ PKA | PLCg,0.6495281035304841,1
Agent,gcm,39,FALSE,Mek _||_ p38 | PKA,0.06928581234833375,1
Agent,gcm,39,FALSE,Mek _||_ p38 | Erk,0.02543847212021,0.9157849963275599
Agent,gcm,39,FALSE,Mek _||_ p38 | PIP2,0.2679263928857253,1
Agent,gcm,39,FALSE,Mek _||_ p38 | PLCg,0.09696928966013307,1
Agent,gcm,39,FALSE,PIP2 _||_ PKA | Erk,0.35789140217805515,1
Agent,gcm,39,FALSE,PIP2 _||_ Raf | Mek,0.0859610397065258,1
Agent,gcm,39,FALSE,PIP2 _||_ Raf | PLCg,0.2958125775039564,1
Agent,gcm,39,FALSE,PIP2 _||_ p38 | PKA,0.967477586652197,1
Agent,gcm,39,FALSE,PIP2 _||_ p38 | Erk,0.5870261169324624,1
Agent,gcm,39,FALSE,PIP3 _||_ PKC | Akt,0.5690348616621765,1
Agent,gcm,39,FALSE,PKA _||_ PLCg | PIP2,0.8047027911362941,1
Agent,gcm,39,FALSE,PKA _||_ PLCg | Erk,0.013280963609786145,0.5046766171718735
Agent,gcm,39,FALSE,PKA _||_ Raf | Mek,0.9480691830528877,1
Agent,gcm,39,FALSE,PKA _||_ Raf | PLCg,0.8617395778055996,1
Agent,gcm,39,FALSE,PKA _||_ Raf | PIP2,0.43881139160590665,1
Agent,gcm,39,FALSE,PKA _||_ Raf | Erk,0.8237495824148663,1
Agent,gcm,39,FALSE,PLCg _||_ Raf | Mek,0.8138364134765659,1
Agent,gcm,39,FALSE,PLCg _||_ p38 | PKA,0.865753470311954,1
Agent,gcm,39,FALSE,PLCg _||_ p38 | Erk,0.7355341878645447,1
Agent,gcm,39,FALSE,PLCg _||_ p38 | PIP2,0.9573433801045913,1
Agent,gcm,39,FALSE,Raf _||_ p38 | PKA,0.09543960931902573,1
Agent,gcm,39,FALSE,Raf _||_ p38 | Erk,0.09731613472842282,1
Agent,gcm,39,FALSE,Raf _||_ p38 | PIP2,0.17401175876973607,1
Agent,gcm,39,FALSE,Raf _||_ p38 | PLCg,0.023033463068156568,0.852238133521793
Agent,gcm,39,FALSE,Raf _||_ p38 | Mek,0.21546085333968468,1
Agent,pcm,39,FALSE,Akt _||_ JNK | PKC,0.6379305274327183,1
Agent,pcm,39,FALSE,Erk _||_ Mek | PLCg,0.03833127790137081,1
Agent,pcm,39,FALSE,Erk _||_ Mek | PIP2,0.1277786800867824,1
