test,CI,adjp_real,adjp_sim,rej_real,rej_sim
pcm,"JNK _||_ p38 | PKA, PKC",5.8557457993657636e-8,1,TRUE,FALSE
gcm,"JNK _||_ p38 | PKA, PKC",2.818471085119789e-5,1,TRUE,FALSE
gcm,"Mek _||_ p38 | PKA, PKC",0.480792751559314,1,FALSE,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.6269619579885877,1,FALSE,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.8979003530323804,0.15657636936176678,FALSE,FALSE
gcm,"Erk _||_ Raf | Mek, PKA",0.930000694541598,0.5041151536766164,FALSE,FALSE
gcm,"Akt _||_ JNK | PKA, PKC",1,1,FALSE,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",1,1,FALSE,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",1,1,FALSE,FALSE
gcm,"Akt _||_ Mek | Erk, PKA",1,0.02204161825669093,FALSE,TRUE
gcm,"Akt _||_ PKC | Mek, PKA",1,1,FALSE,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",1,1,FALSE,FALSE
gcm,"Akt _||_ Raf | Mek, PKA",1,1,FALSE,FALSE
gcm,"Akt _||_ Raf | Erk, PKA",1,0.47546168378711373,FALSE,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",1,1,FALSE,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",1,1,FALSE,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",1,1,FALSE,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",1,1,FALSE,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",1,1,FALSE,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",1,1,FALSE,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",1,1,FALSE,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",1,1,FALSE,FALSE
gcm,"JNK _||_ Mek | PKA, PKC",1,1,FALSE,FALSE
gcm,"JNK _||_ Raf | PKA, PKC",1,1,FALSE,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",1,1,FALSE,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",1,0.9365848916925057,FALSE,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",1,1,FALSE,FALSE
pcm,"Akt _||_ Mek | Erk, PKA",1,1,FALSE,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",1,0.15657636936176678,FALSE,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",1,1,FALSE,FALSE
pcm,"Akt _||_ Raf | Mek, PKA",1,1,FALSE,FALSE
pcm,"Akt _||_ Raf | Erk, PKA",1,1,FALSE,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",1,0.19873635889074315,FALSE,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",1,1,FALSE,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",1,1,FALSE,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",1,1,FALSE,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",1,0.8619029914619584,FALSE,FALSE
pcm,"Erk _||_ Raf | Mek, PKA",1,1,FALSE,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",1,1,FALSE,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",1,1,FALSE,FALSE
pcm,"JNK _||_ Mek | PKA, PKC",1,1,FALSE,FALSE
pcm,"JNK _||_ Raf | PKA, PKC",1,1,FALSE,FALSE
pcm,"Mek _||_ p38 | PKA, PKC",1,1,FALSE,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",1,1,FALSE,FALSE
