test,CI,adjp_real,adjp_sim,rej_real,rej_sim
pcm,PIP3 _||_ Raf | Mek,0.28574479674762454,1,FALSE,FALSE
pcm,JNK _||_ Mek | Raf,0.7675704505676922,1,FALSE,FALSE
gcm,PLCg _||_ Raf | Mek,1,1,FALSE,FALSE
gcm,PIP2 _||_ Raf | Mek,1,1,FALSE,FALSE
gcm,PIP3 _||_ Raf | Mek,1,1,FALSE,FALSE
gcm,Erk _||_ Raf | Mek,1,1,FALSE,FALSE
gcm,Akt _||_ Raf | Mek,1,1,FALSE,FALSE
gcm,p38 _||_ Raf | Mek,1,1,FALSE,FALSE
gcm,JNK _||_ Raf | Mek,1,1,FALSE,FALSE
gcm,Mek _||_ PLCg | Raf,1,1,FALSE,FALSE
gcm,Mek _||_ PIP2 | Raf,1,1,FALSE,FALSE
gcm,Mek _||_ PIP3 | Raf,1,1,FALSE,FALSE
gcm,Akt _||_ Mek | Erk,1,1,FALSE,FALSE
gcm,Mek _||_ p38 | Raf,1,1,FALSE,FALSE
gcm,JNK _||_ Mek | Raf,1,0.8914253080910599,FALSE,FALSE
gcm,Erk _||_ PLCg | Raf,1,1,FALSE,FALSE
gcm,Akt _||_ PLCg | Raf,1,0.856310195041456,FALSE,FALSE
gcm,PKA _||_ PLCg | Raf,1,1,FALSE,FALSE
gcm,PKC _||_ PLCg | Raf,1,1,FALSE,FALSE
gcm,p38 _||_ PLCg | Raf,1,1,FALSE,FALSE
gcm,JNK _||_ PLCg | Raf,1,1,FALSE,FALSE
gcm,Erk _||_ PIP2 | Raf,1,1,FALSE,FALSE
gcm,Akt _||_ PIP2 | Raf,1,1,FALSE,FALSE
gcm,PIP2 _||_ PKA | Raf,1,1,FALSE,FALSE
gcm,PIP2 _||_ PKC | Raf,1,1,FALSE,FALSE
gcm,p38 _||_ PIP2 | Raf,1,1,FALSE,FALSE
gcm,JNK _||_ PIP2 | Raf,1,1,FALSE,FALSE
gcm,Erk _||_ PIP3 | Raf,1,1,FALSE,FALSE
gcm,Akt _||_ PIP3 | Raf,1,1,FALSE,FALSE
gcm,PIP3 _||_ PKA | Raf,1,0.29726668062102535,FALSE,FALSE
gcm,PIP3 _||_ PKC | Raf,1,0.8116661518994112,FALSE,FALSE
gcm,p38 _||_ PIP3 | Raf,1,1,FALSE,FALSE
gcm,JNK _||_ PIP3 | Raf,1,1,FALSE,FALSE
gcm,Erk _||_ p38 | Raf,1,1,FALSE,FALSE
gcm,Erk _||_ JNK | Raf,1,1,FALSE,FALSE
gcm,Akt _||_ p38 | Raf,1,1,FALSE,FALSE
gcm,Akt _||_ JNK | Raf,1,1,FALSE,FALSE
gcm,JNK _||_ p38 | Raf,1,1,FALSE,FALSE
pcm,PLCg _||_ Raf | Mek,1,1,FALSE,FALSE
pcm,PIP2 _||_ Raf | Mek,1,1,FALSE,FALSE
pcm,Erk _||_ Raf | Mek,1,1,FALSE,FALSE
pcm,Akt _||_ Raf | Mek,1,1,FALSE,FALSE
pcm,p38 _||_ Raf | Mek,1,1,FALSE,FALSE
pcm,JNK _||_ Raf | Mek,1,0.4053997346418575,FALSE,FALSE
pcm,Mek _||_ PLCg | Raf,1,1,FALSE,FALSE
pcm,Mek _||_ PIP2 | Raf,1,1,FALSE,FALSE
pcm,Mek _||_ PIP3 | Raf,1,1,FALSE,FALSE
pcm,Akt _||_ Mek | Erk,1,1,FALSE,FALSE
pcm,Mek _||_ p38 | Raf,1,1,FALSE,FALSE
pcm,Erk _||_ PLCg | Raf,1,1,FALSE,FALSE
pcm,Akt _||_ PLCg | Raf,1,1,FALSE,FALSE
pcm,PKA _||_ PLCg | Raf,1,1,FALSE,FALSE
pcm,PKC _||_ PLCg | Raf,1,1,FALSE,FALSE
pcm,p38 _||_ PLCg | Raf,1,1,FALSE,FALSE
pcm,JNK _||_ PLCg | Raf,1,1,FALSE,FALSE
pcm,Erk _||_ PIP2 | Raf,1,0.48406095048977993,FALSE,FALSE
pcm,Akt _||_ PIP2 | Raf,1,1,FALSE,FALSE
pcm,PIP2 _||_ PKA | Raf,1,1,FALSE,FALSE
pcm,PIP2 _||_ PKC | Raf,1,1,FALSE,FALSE
pcm,p38 _||_ PIP2 | Raf,1,0.8094079042084769,FALSE,FALSE
pcm,JNK _||_ PIP2 | Raf,1,1,FALSE,FALSE
pcm,Erk _||_ PIP3 | Raf,1,1,FALSE,FALSE
pcm,Akt _||_ PIP3 | Raf,1,1,FALSE,FALSE
pcm,PIP3 _||_ PKA | Raf,1,1,FALSE,FALSE
pcm,PIP3 _||_ PKC | Raf,1,1,FALSE,FALSE
pcm,p38 _||_ PIP3 | Raf,1,1,FALSE,FALSE
pcm,JNK _||_ PIP3 | Raf,1,1,FALSE,FALSE
pcm,Erk _||_ p38 | Raf,1,1,FALSE,FALSE
pcm,Erk _||_ JNK | Raf,1,1,FALSE,FALSE
pcm,Akt _||_ p38 | Raf,1,1,FALSE,FALSE
pcm,Akt _||_ JNK | Raf,1,1,FALSE,FALSE
pcm,JNK _||_ p38 | Raf,1,0.1727010510961824,FALSE,FALSE
