test,CI,p.value,adj.p.value,rejected
gcm,"Akt _||_ JNK | PKA, PKC",0.49607928123451583,1,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",0.15272534732589071,1,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",0.2565979227720807,1,FALSE
gcm,"Akt _||_ Mek | Erk, PKA",0.088743710828041,1,FALSE
gcm,"Akt _||_ PKC | Mek, PKA",0.9755709034290249,1,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",0.898439875075195,1,FALSE
gcm,"Akt _||_ Raf | Mek, PKA",0.15855042717536405,1,FALSE
gcm,"Akt _||_ Raf | Erk, PKA",0.718572272573759,1,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",0.5824571576124944,1,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",0.7982296863000612,1,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",0.34124387235875764,1,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",0.9458160682493502,1,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",0.42385767322759194,1,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",0.7854648710907555,1,FALSE
gcm,"Erk _||_ Raf | Mek, PKA",0.048947404975873576,0.930000694541598,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",0.6724784866812913,1,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",0.5644493675150967,1,FALSE
gcm,"JNK _||_ Mek | PKA, PKC",0.0744391601508908,1,FALSE
gcm,"JNK _||_ Raf | PKA, PKC",0.5011191948528786,1,FALSE
gcm,"JNK _||_ p38 | PKA, PKC",1.281123220508995e-6,2.818471085119789e-5,TRUE
gcm,"Mek _||_ p38 | PKA, PKC",0.022894892931395905,0.480792751559314,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.031348097899429384,0.6269619579885877,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",0.5797857666528103,1,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",0.19767064922953614,1,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",0.940014588375134,1,FALSE
pcm,"Akt _||_ Mek | Erk, PKA",0.5687015625426011,1,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",0.9810337879454638,1,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",0.7322740445938112,1,FALSE
pcm,"Akt _||_ Raf | Mek, PKA",0.8221275755915409,1,FALSE
pcm,"Akt _||_ Raf | Erk, PKA",0.3082398966082929,1,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.04275715966820859,0.8979003530323804,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",0.9603076936053911,1,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",0.5533859133972183,1,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",0.9431059782477299,1,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",0.9921781767132399,1,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",0.9894896326957284,1,FALSE
pcm,"Erk _||_ Raf | Mek, PKA",0.7964180747844041,1,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",0.6003590370436015,1,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",0.6866177768825614,1,FALSE
pcm,"JNK _||_ Mek | PKA, PKC",0.19410140166425838,1,FALSE
pcm,"JNK _||_ Raf | PKA, PKC",0.6492399218871397,1,FALSE
pcm,"JNK _||_ p38 | PKA, PKC",2.661702636075347e-9,5.8557457993657636e-8,TRUE
pcm,"Mek _||_ p38 | PKA, PKC",0.45468497714640355,1,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",0.31774732096363956,1,FALSE
