test,X,Y,Z_list,CI,p.value,adj.p.value,rejected
gcm,PLCg,Raf,,PLCg _||_ Raf | Mek,0.8108625995723736,1,FALSE
gcm,PIP2,Raf,,PIP2 _||_ Raf | Mek,0.08509267860989322,1,FALSE
gcm,PIP3,Raf,,PIP3 _||_ Raf | Mek,0.2223792842666915,1,FALSE
gcm,Erk,Raf,,Erk _||_ Raf | Mek,0.10130946678537345,1,FALSE
gcm,Akt,Raf,,Akt _||_ Raf | Mek,0.1510681127046355,1,FALSE
gcm,p38,Raf,,p38 _||_ Raf | Mek,0.20996957928802673,1,FALSE
gcm,JNK,Raf,,JNK _||_ Raf | Mek,0.14591210774635666,1,FALSE
gcm,Mek,PLCg,,Mek _||_ PLCg | Raf,0.7482607356035791,1,FALSE
gcm,Mek,PIP2,,Mek _||_ PIP2 | Raf,0.18524755394182502,1,FALSE
gcm,Mek,PIP3,,Mek _||_ PIP3 | Raf,0.621712626761485,1,FALSE
gcm,Akt,Mek,,Akt _||_ Mek | Erk,0.3239976512328284,1,FALSE
gcm,Mek,p38,,Mek _||_ p38 | Raf,0.4069292900356889,1,FALSE
gcm,JNK,Mek,,JNK _||_ Mek | Raf,0.10859393260523009,1,FALSE
gcm,Erk,PLCg,,Erk _||_ PLCg | Raf,0.5385072191406322,1,FALSE
gcm,Akt,PLCg,,Akt _||_ PLCg | Raf,0.9929716939961539,1,FALSE
gcm,PKA,PLCg,,PKA _||_ PLCg | Raf,0.6767077123249546,1,FALSE
gcm,PKC,PLCg,,PKC _||_ PLCg | Raf,0.20270845057185016,1,FALSE
gcm,p38,PLCg,,p38 _||_ PLCg | Raf,0.3141355775351973,1,FALSE
gcm,JNK,PLCg,,JNK _||_ PLCg | Raf,0.12310857947438902,1,FALSE
gcm,Erk,PIP2,,Erk _||_ PIP2 | Raf,0.1926422040906648,1,FALSE
gcm,Akt,PIP2,,Akt _||_ PIP2 | Raf,0.45264136257022847,1,FALSE
gcm,PIP2,PKA,,PIP2 _||_ PKA | Raf,0.3774505119517788,1,FALSE
gcm,PIP2,PKC,,PIP2 _||_ PKC | Raf,0.28743099082254364,1,FALSE
gcm,p38,PIP2,,p38 _||_ PIP2 | Raf,0.8857952335652508,1,FALSE
gcm,JNK,PIP2,,JNK _||_ PIP2 | Raf,0.7406562701394537,1,FALSE
gcm,Erk,PIP3,,Erk _||_ PIP3 | Raf,0.6781442587885333,1,FALSE
gcm,Akt,PIP3,,Akt _||_ PIP3 | Raf,0.9903891902660881,1,FALSE
gcm,PIP3,PKA,,PIP3 _||_ PKA | Raf,0.4018422978919769,1,FALSE
gcm,PIP3,PKC,,PIP3 _||_ PKC | Raf,0.28519543874154774,1,FALSE
gcm,p38,PIP3,,p38 _||_ PIP3 | Raf,0.7469453015081003,1,FALSE
gcm,JNK,PIP3,,JNK _||_ PIP3 | Raf,0.19573248918149844,1,FALSE
gcm,Erk,p38,,Erk _||_ p38 | Raf,0.4382767727169886,1,FALSE
gcm,Erk,JNK,,Erk _||_ JNK | Raf,0.9055944104664078,1,FALSE
gcm,Akt,p38,,Akt _||_ p38 | Raf,0.5250527879328984,1,FALSE
gcm,Akt,JNK,,Akt _||_ JNK | Raf,0.5988463014501697,1,FALSE
gcm,JNK,p38,,JNK _||_ p38 | Raf,0.1979740293561174,1,FALSE
pcm,PLCg,Raf,,PLCg _||_ Raf | Mek,0.6369013619159889,1,FALSE
pcm,PIP2,Raf,,PIP2 _||_ Raf | Mek,0.8596475160582027,1,FALSE
pcm,PIP3,Raf,,PIP3 _||_ Raf | Mek,0.007937355465211793,0.28574479674762454,FALSE
pcm,Erk,Raf,,Erk _||_ Raf | Mek,0.24317692020372783,1,FALSE
pcm,Akt,Raf,,Akt _||_ Raf | Mek,0.990482301570551,1,FALSE
pcm,p38,Raf,,p38 _||_ Raf | Mek,0.8107198420612136,1,FALSE
pcm,JNK,Raf,,JNK _||_ Raf | Mek,0.04698289170900127,1,FALSE
pcm,Mek,PLCg,,Mek _||_ PLCg | Raf,0.9477524656948028,1,FALSE
pcm,Mek,PIP2,,Mek _||_ PIP2 | Raf,0.18781811365950896,1,FALSE
pcm,Mek,PIP3,,Mek _||_ PIP3 | Raf,0.25982403555557665,1,FALSE
pcm,Akt,Mek,,Akt _||_ Mek | Erk,0.6534762544486481,1,FALSE
pcm,Mek,p38,,Mek _||_ p38 | Raf,0.6997525082594811,1,FALSE
pcm,JNK,Mek,,JNK _||_ Mek | Raf,0.021930584301934064,0.7675704505676922,FALSE
pcm,Erk,PLCg,,Erk _||_ PLCg | Raf,0.09730308180134084,1,FALSE
pcm,Akt,PLCg,,Akt _||_ PLCg | Raf,0.41615047332323774,1,FALSE
pcm,PKA,PLCg,,PKA _||_ PLCg | Raf,0.9458658067628166,1,FALSE
pcm,PKC,PLCg,,PKC _||_ PLCg | Raf,0.8234434926172043,1,FALSE
pcm,p38,PLCg,,p38 _||_ PLCg | Raf,0.9299605544944722,1,FALSE
pcm,JNK,PLCg,,JNK _||_ PLCg | Raf,0.4911206271224584,1,FALSE
pcm,Erk,PIP2,,Erk _||_ PIP2 | Raf,0.20928900520092852,1,FALSE
pcm,Akt,PIP2,,Akt _||_ PIP2 | Raf,0.41968618870834695,1,FALSE
pcm,PIP2,PKA,,PIP2 _||_ PKA | Raf,0.34878271098872793,1,FALSE
pcm,PIP2,PKC,,PIP2 _||_ PKC | Raf,0.38172601718496335,1,FALSE
pcm,p38,PIP2,,p38 _||_ PIP2 | Raf,0.4152045724841279,1,FALSE
pcm,JNK,PIP2,,JNK _||_ PIP2 | Raf,0.30156941416850547,1,FALSE
pcm,Erk,PIP3,,Erk _||_ PIP3 | Raf,0.9408769880781119,1,FALSE
pcm,Akt,PIP3,,Akt _||_ PIP3 | Raf,0.7525448423079959,1,FALSE
pcm,PIP3,PKA,,PIP3 _||_ PKA | Raf,0.5519804529400281,1,FALSE
pcm,PIP3,PKC,,PIP3 _||_ PKC | Raf,0.8695798273415639,1,FALSE
pcm,p38,PIP3,,p38 _||_ PIP3 | Raf,0.6959285802938563,1,FALSE
pcm,JNK,PIP3,,JNK _||_ PIP3 | Raf,0.029855018818449652,1,FALSE
pcm,Erk,p38,,Erk _||_ p38 | Raf,0.27623515380698804,1,FALSE
pcm,Erk,JNK,,Erk _||_ JNK | Raf,0.7379019068753349,1,FALSE
pcm,Akt,p38,,Akt _||_ p38 | Raf,0.212857684695005,1,FALSE
pcm,Akt,JNK,,Akt _||_ JNK | Raf,0.44513743086658886,1,FALSE
pcm,JNK,p38,,JNK _||_ p38 | Raf,0.4726530136015231,1,FALSE
