test,CI,p.value,adj.p.value,rejected
gcm,Raf _||_ PLCg | ∅,0.7342866703472657,1,FALSE
gcm,Raf _||_ PIP2 | ∅,0.7144846017246747,1,FALSE
gcm,Raf _||_ PIP3 | ∅,0.4636546670938394,1,FALSE
gcm,"Raf _||_ Erk | Mek, PKA",0.03595375952483815,1,FALSE
gcm,"Raf _||_ Akt | Mek, PKA",0.13425929167014616,1,FALSE
gcm,"Raf _||_ Akt | Erk, PKA",0.6695856427169782,1,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.035369591733883654,1,FALSE
gcm,"Raf _||_ JNK | PKA, PKC",0.5753222462534726,1,FALSE
gcm,Mek _||_ PLCg | ∅,0.9899709791117736,1,FALSE
gcm,Mek _||_ PIP2 | ∅,0.6354395619990947,1,FALSE
gcm,Mek _||_ PIP3 | ∅,0.10210929270998392,1,FALSE
gcm,"Mek _||_ Akt | Erk, PKA",0.0702853174050524,1,FALSE
gcm,"Mek _||_ p38 | PKA, PKC",0.01701001452587081,0.7654506536641864,FALSE
gcm,"Mek _||_ JNK | PKA, PKC",0.056763293514784485,1,FALSE
gcm,PLCg _||_ Erk | ∅,0.25553694073195066,1,FALSE
gcm,PLCg _||_ Akt | ∅,0.543635738185297,1,FALSE
gcm,PLCg _||_ PKA | ∅,0.5205539643262478,1,FALSE
gcm,PLCg _||_ PKC | ∅,0.6366836918887502,1,FALSE
gcm,PLCg _||_ p38 | ∅,0.7921223725904885,1,FALSE
gcm,PLCg _||_ JNK | ∅,0.18764000158556982,1,FALSE
gcm,PIP2 _||_ Erk | ∅,0.2598003254153831,1,FALSE
gcm,PIP2 _||_ Akt | ∅,0.6637768937895572,1,FALSE
gcm,PIP2 _||_ PKA | ∅,0.31135322669465637,1,FALSE
gcm,PIP2 _||_ PKC | ∅,0.5986649435005225,1,FALSE
gcm,PIP2 _||_ p38 | ∅,0.6232187135195029,1,FALSE
gcm,PIP2 _||_ JNK | ∅,0.781878191814072,1,FALSE
gcm,PIP3 _||_ Erk | ∅,0.5335059871064944,1,FALSE
gcm,PIP3 _||_ Akt | ∅,0.36585068248688957,1,FALSE
gcm,PIP3 _||_ PKA | ∅,0.7532511238732349,1,FALSE
gcm,PIP3 _||_ PKC | ∅,0.7352439627316387,1,FALSE
gcm,PIP3 _||_ p38 | ∅,0.8995152773645382,1,FALSE
gcm,PIP3 _||_ JNK | ∅,0.4321349060674381,1,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",0.7456322815886843,1,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",0.45141596951432417,1,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",0.6461797456203362,1,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",0.4053865568558618,1,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",0.7722519109382231,1,FALSE
gcm,"Akt _||_ PKC | Mek, PKA",0.9663700804878974,1,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",0.8290424588764989,1,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",0.7511098845579172,1,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",0.40035955635390186,1,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",0.5458482923129819,1,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",0.1729497014126784,1,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",0.2392754920727701,1,FALSE
gcm,"Akt _||_ JNK | PKA, PKC",0.5317526132992692,1,FALSE
gcm,"p38 _||_ JNK | PKA, PKC",2.3598646817779567e-6,1.0855377536178601e-4,TRUE
pcm,Raf _||_ PLCg | ∅,0.9921923066962415,1,FALSE
pcm,Raf _||_ PIP2 | ∅,0.07762665460405416,1,FALSE
pcm,Raf _||_ PIP3 | ∅,0.2758044402630566,1,FALSE
pcm,"Raf _||_ Erk | Mek, PKA",0.16038980510245426,1,FALSE
pcm,"Raf _||_ Akt | Mek, PKA",0.13901327299948973,1,FALSE
pcm,"Raf _||_ Akt | Erk, PKA",0.7599307252503783,1,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",0.8649578229404643,1,FALSE
pcm,"Raf _||_ JNK | PKA, PKC",0.14388645368432162,1,FALSE
pcm,Mek _||_ PLCg | ∅,0.23940185384939983,1,FALSE
pcm,Mek _||_ PIP2 | ∅,0.013002651712573088,0.585119327065789,FALSE
pcm,Mek _||_ PIP3 | ∅,0.2428036360143191,1,FALSE
pcm,"Mek _||_ Akt | Erk, PKA",0.3790495531331938,1,FALSE
pcm,"Mek _||_ p38 | PKA, PKC",0.577738852139612,1,FALSE
pcm,"Mek _||_ JNK | PKA, PKC",0.06558608649779063,1,FALSE
pcm,PLCg _||_ Erk | ∅,0.5680228323460061,1,FALSE
pcm,PLCg _||_ Akt | ∅,0.531542432312439,1,FALSE
pcm,PLCg _||_ PKA | ∅,0.30134266561647294,1,FALSE
pcm,PLCg _||_ PKC | ∅,0.48310325777927776,1,FALSE
pcm,PLCg _||_ p38 | ∅,0.9256436312870563,1,FALSE
pcm,PLCg _||_ JNK | ∅,0.9828901785384211,1,FALSE
pcm,PIP2 _||_ Erk | ∅,0.38490856654850714,1,FALSE
pcm,PIP2 _||_ Akt | ∅,0.3703357860983607,1,FALSE
pcm,PIP2 _||_ PKA | ∅,0.4074879935502792,1,FALSE
pcm,PIP2 _||_ PKC | ∅,0.12566601669318278,1,FALSE
pcm,PIP2 _||_ p38 | ∅,0.9512986316808745,1,FALSE
pcm,PIP2 _||_ JNK | ∅,0.3083302335403122,1,FALSE
pcm,PIP3 _||_ Erk | ∅,0.6865321734257092,1,FALSE
pcm,PIP3 _||_ Akt | ∅,0.6878669697700844,1,FALSE
pcm,PIP3 _||_ PKA | ∅,0.40300663255372915,1,FALSE
pcm,PIP3 _||_ PKC | ∅,0.9394055607104239,1,FALSE
pcm,PIP3 _||_ p38 | ∅,0.31213420014362536,1,FALSE
pcm,PIP3 _||_ JNK | ∅,0.8853187463062178,1,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",0.28865872980248886,1,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",0.22026606401087856,1,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",0.8821393205148224,1,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",0.09717531756443498,1,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",0.44385308579790195,1,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",0.7155233578594897,1,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",0.41666130683623426,1,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",0.8038258231098048,1,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",0.7522476093103666,1,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.3411394518942672,1,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",0.30636247611643663,1,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",0.5316523444773418,1,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",0.7446921686175101,1,FALSE
pcm,"p38 _||_ JNK | PKA, PKC",1.0077895260307557e-4,0.004635831819741476,TRUE
