test,CI,p.value,adj.p.value,rejected
gcm,"Akt _||_ JNK | PKA, PKC",0.4761090216921109,1,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",0.14336046091691412,1,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",0.2701480657309978,1,FALSE
gcm,"Akt _||_ Mek | Erk, PKA",0.11567727493342317,1,FALSE
gcm,"Akt _||_ PKC | Mek, PKA",0.9941348705116283,1,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",0.8912132996269433,1,FALSE
gcm,"Akt _||_ Raf | Mek, PKA",0.13836308286873344,1,FALSE
gcm,"Akt _||_ Raf | Erk, PKA",0.7750534514596981,1,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",0.595621729847313,1,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",0.6667741087084758,1,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",0.4412499571520865,1,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",0.8701158447036568,1,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",0.36776852736279664,1,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",0.7639969692252524,1,FALSE
gcm,"Erk _||_ Raf | Mek, PKA",0.046588003733966765,0.8851720709453685,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",0.5611286545140826,1,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",0.545395842790212,1,FALSE
gcm,"JNK _||_ Mek | PKA, PKC",0.06246684538656777,1,FALSE
gcm,"JNK _||_ Raf | PKA, PKC",0.402976696540303,1,FALSE
gcm,"JNK _||_ p38 | PKA, PKC",1.495114908323103e-6,3.2892527983108266e-5,TRUE
gcm,"Mek _||_ p38 | PKA, PKC",0.023332738819074605,0.4899875152005667,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.02819163198173069,0.5638326396346138,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",0.19046385540830224,1,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",0.988247562036326,1,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",0.5999884410179901,1,FALSE
pcm,"Akt _||_ Mek | Erk, PKA",0.2140708806614502,1,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",0.9941237727096095,1,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",0.043861587035909255,0.9210933277540944,FALSE
pcm,"Akt _||_ Raf | Mek, PKA",0.20480985421707798,1,FALSE
pcm,"Akt _||_ Raf | Erk, PKA",0.49149616417269915,1,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.11575782167381976,1,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",0.8169756733905292,1,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",0.09455850385550824,1,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",0.8730512301097211,1,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",0.9925153251887187,1,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",0.6995118763696038,1,FALSE
pcm,"Erk _||_ Raf | Mek, PKA",0.6724351063536176,1,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",0.22912751425814148,1,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",0.24656311012348797,1,FALSE
pcm,"JNK _||_ Mek | PKA, PKC",0.34753332154695427,1,FALSE
pcm,"JNK _||_ Raf | PKA, PKC",0.5911612770837986,1,FALSE
pcm,"JNK _||_ p38 | PKA, PKC",1.9591024836917992e-4,0.004310025464121958,TRUE
pcm,"Mek _||_ p38 | PKA, PKC",0.7215135502208243,1,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",0.3153318792099328,1,FALSE
