graph,CI,p.value,adj.p.value,test
Sachs,"Akt _||_ JNK | PKA, PKC",0.5347504100909855,1,gcm
Sachs,"Akt _||_ JNK | Mek, PKA",0.12881123527179095,1,gcm
Sachs,"Akt _||_ JNK | Erk, PKA",0.2629098514768843,1,gcm
Sachs,"Akt _||_ Mek | Erk, PKA",0.08056341076312412,1,gcm
Sachs,"Akt _||_ PKC | Mek, PKA",0.9917068361516784,1,gcm
Sachs,"Akt _||_ PKC | Erk, PKA",0.8751499365467519,1,gcm
Sachs,"Akt _||_ Raf | Mek, PKA",0.1634331156916199,1,gcm
Sachs,"Akt _||_ Raf | Erk, PKA",0.6775657926522693,1,gcm
Sachs,"Akt _||_ p38 | PKA, PKC",0.5759365297397155,1,gcm
Sachs,"Akt _||_ p38 | Mek, PKA",0.7195536832124172,1,gcm
Sachs,"Akt _||_ p38 | Erk, PKA",0.345476699716029,1,gcm
Sachs,"Erk _||_ JNK | PKA, PKC",0.8708915685536579,1,gcm
Sachs,"Erk _||_ JNK | Mek, PKA",0.37393851085697893,1,gcm
Sachs,"Erk _||_ PKC | Mek, PKA",0.8395424629782139,1,gcm
Sachs,"Erk _||_ Raf | Mek, PKA",0.039938014714516856,0.7588222795758203,gcm
Sachs,"Erk _||_ p38 | PKA, PKC",0.6555142333292799,1,gcm
Sachs,"Erk _||_ p38 | Mek, PKA",0.4336294039960594,1,gcm
Sachs,"JNK _||_ Mek | PKA, PKC",0.08687142875720488,1,gcm
Sachs,"JNK _||_ Raf | PKA, PKC",0.4778250324640074,1,gcm
Sachs,"JNK _||_ p38 | PKA, PKC",1.952763285628656e-6,4.296079228383043e-5,gcm
Sachs,"Mek _||_ p38 | PKA, PKC",0.03420091401856662,0.718219194389899,gcm
Sachs,"Raf _||_ p38 | PKA, PKC",0.034582785201227484,0.718219194389899,gcm
Sachs,"Akt _||_ JNK | PKA, PKC",0.4622167326448401,1,pcm
Sachs,"Akt _||_ JNK | Mek, PKA",0.9242904061035624,1,pcm
Sachs,"Akt _||_ JNK | Erk, PKA",0.9673068918156433,1,pcm
Sachs,"Akt _||_ Mek | Erk, PKA",0.6844199192290602,1,pcm
Sachs,"Akt _||_ PKC | Mek, PKA",0.7276026091642877,1,pcm
Sachs,"Akt _||_ PKC | Erk, PKA",0.8270270050977356,1,pcm
Sachs,"Akt _||_ Raf | Mek, PKA",0.21573029418190526,1,pcm
Sachs,"Akt _||_ Raf | Erk, PKA",0.2506844886835464,1,pcm
Sachs,"Akt _||_ p38 | PKA, PKC",0.12579847188025994,1,pcm
Sachs,"Akt _||_ p38 | Mek, PKA",0.9375593306351012,1,pcm
Sachs,"Akt _||_ p38 | Erk, PKA",0.8918961058060944,1,pcm
Sachs,"Erk _||_ JNK | PKA, PKC",0.827884851992635,1,pcm
Sachs,"Erk _||_ JNK | Mek, PKA",0.29151292023910647,1,pcm
Sachs,"Erk _||_ PKC | Mek, PKA",0.9538808536845241,1,pcm
Sachs,"Erk _||_ Raf | Mek, PKA",0.4229439724791202,1,pcm
Sachs,"Erk _||_ p38 | PKA, PKC",0.5196435133829903,1,pcm
Sachs,"Erk _||_ p38 | Mek, PKA",0.9557857021068649,1,pcm
Sachs,"JNK _||_ Mek | PKA, PKC",0.16783280427706526,1,pcm
Sachs,"JNK _||_ Raf | PKA, PKC",0.43597481545896555,1,pcm
Sachs,"JNK _||_ p38 | PKA, PKC",1.5713604195610742e-8,3.456992923034363e-7,pcm
Sachs,"Mek _||_ p38 | PKA, PKC",0.9431223937090795,1,pcm
Sachs,"Raf _||_ p38 | PKA, PKC",0.052958207040248784,1,pcm
