test,CI,p.value,adj.p.value,rejected
gcm,"Akt _||_ JNK | PKA, PKC",0.4932746094797359,1,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",0.6480104310519188,1,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",0.9956020033353139,1,FALSE
gcm,"Akt _||_ Mek | Erk, PKA",0.0010018917389404969,0.02204161825669093,TRUE
gcm,"Akt _||_ PKC | Mek, PKA",0.8706078136011944,1,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",0.7967062167645593,1,FALSE
gcm,"Akt _||_ Raf | Mek, PKA",0.3655281638743675,1,FALSE
gcm,"Akt _||_ Raf | Erk, PKA",0.02264103256129113,0.47546168378711373,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",0.6011221874911327,1,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",0.8557433748479315,1,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",0.5124276762701052,1,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",0.32244725246345995,1,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",0.7124170340833491,1,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",0.5718386551664332,1,FALSE
gcm,"Erk _||_ Raf | Mek, PKA",0.02520575768383082,0.5041151536766164,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",0.8771015167088645,1,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",0.9526222912534796,1,FALSE
gcm,"JNK _||_ Mek | PKA, PKC",0.7800687515203525,1,FALSE
gcm,"JNK _||_ Raf | PKA, PKC",0.7065738240570978,1,FALSE
gcm,"JNK _||_ p38 | PKA, PKC",0.8129022138599185,1,FALSE
gcm,"Mek _||_ p38 | PKA, PKC",0.9584657176557261,1,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.24675290702778063,1,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",0.797082921875985,1,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",0.05203249398291698,0.9365848916925057,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",0.22628041644784525,1,FALSE
pcm,"Akt _||_ Mek | Erk, PKA",0.8783863280189916,1,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",0.007117107698262126,0.15657636936176678,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",0.19478690200993254,1,FALSE
pcm,"Akt _||_ Raf | Mek, PKA",0.24573295798859274,1,FALSE
pcm,"Akt _||_ Raf | Erk, PKA",0.2624562732317126,1,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.007264512932578349,0.15657636936176678,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",0.009936817944537157,0.19873635889074315,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",0.22912527324973042,1,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",0.46199840183091523,1,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",0.06296885344612191,1,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",0.04536331534010307,0.8619029914619584,FALSE
pcm,"Erk _||_ Raf | Mek, PKA",0.40231335211681285,1,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",0.3415372579462165,1,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",0.4793372061051664,1,FALSE
pcm,"JNK _||_ Mek | PKA, PKC",0.45846246903460186,1,FALSE
pcm,"JNK _||_ Raf | PKA, PKC",0.8639245822020833,1,FALSE
pcm,"JNK _||_ p38 | PKA, PKC",0.9471462283908991,1,FALSE
pcm,"Mek _||_ p38 | PKA, PKC",0.2876104655665641,1,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",0.3364613711147342,1,FALSE
