test,X,Y,Z_list,CI,p.value,adj.p.value,rejected
gcm,PLCg,Raf,,PLCg _||_ Raf | Mek,0.07031793208881665,1,FALSE
gcm,PIP2,Raf,,PIP2 _||_ Raf | Mek,0.04255170242328665,1,FALSE
gcm,PIP3,Raf,,PIP3 _||_ Raf | Mek,0.2229116337115109,1,FALSE
gcm,Erk,Raf,,Erk _||_ Raf | Mek,0.29730870255857367,1,FALSE
gcm,Akt,Raf,,Akt _||_ Raf | Mek,0.12179863030571703,1,FALSE
gcm,p38,Raf,,p38 _||_ Raf | Mek,0.3441915692507106,1,FALSE
gcm,JNK,Raf,,JNK _||_ Raf | Mek,0.415321071295509,1,FALSE
gcm,Mek,PLCg,,Mek _||_ PLCg | Raf,0.37981492404268113,1,FALSE
gcm,Mek,PIP2,,Mek _||_ PIP2 | Raf,0.364589226105304,1,FALSE
gcm,Mek,PIP3,,Mek _||_ PIP3 | Raf,0.6386127545738919,1,FALSE
gcm,Akt,Mek,,Akt _||_ Mek | Erk,0.08545814673309948,1,FALSE
gcm,Mek,p38,,Mek _||_ p38 | Raf,0.3519695105430415,1,FALSE
gcm,JNK,Mek,,JNK _||_ Mek | Raf,0.027012888123971512,0.8914253080910599,FALSE
gcm,Erk,PLCg,,Erk _||_ PLCg | Raf,0.8608229863649699,1,FALSE
gcm,Akt,PLCg,,Akt _||_ PLCg | Raf,0.02518559397180753,0.856310195041456,FALSE
gcm,PKA,PLCg,,PKA _||_ PLCg | Raf,0.9658891511882248,1,FALSE
gcm,PKC,PLCg,,PKC _||_ PLCg | Raf,0.9554481584212087,1,FALSE
gcm,p38,PLCg,,p38 _||_ PLCg | Raf,0.43986795226316266,1,FALSE
gcm,JNK,PLCg,,JNK _||_ PLCg | Raf,0.991642547136227,1,FALSE
gcm,Erk,PIP2,,Erk _||_ PIP2 | Raf,0.7555114934161418,1,FALSE
gcm,Akt,PIP2,,Akt _||_ PIP2 | Raf,0.05661911015441634,1,FALSE
gcm,PIP2,PKA,,PIP2 _||_ PKA | Raf,0.45466329426642305,1,FALSE
gcm,PIP2,PKC,,PIP2 _||_ PKC | Raf,0.8425193761537642,1,FALSE
gcm,p38,PIP2,,p38 _||_ PIP2 | Raf,0.9997622248290565,1,FALSE
gcm,JNK,PIP2,,JNK _||_ PIP2 | Raf,0.03473396479941704,1,FALSE
gcm,Erk,PIP3,,Erk _||_ PIP3 | Raf,0.29297126392153927,1,FALSE
gcm,Akt,PIP3,,Akt _||_ PIP3 | Raf,0.4018521942019916,1,FALSE
gcm,PIP3,PKA,,PIP3 _||_ PKA | Raf,0.008257407795028482,0.29726668062102535,FALSE
gcm,PIP3,PKC,,PIP3 _||_ PKC | Raf,0.02319046148284032,0.8116661518994112,FALSE
gcm,p38,PIP3,,p38 _||_ PIP3 | Raf,0.15692222798334177,1,FALSE
gcm,JNK,PIP3,,JNK _||_ PIP3 | Raf,0.17446498745082417,1,FALSE
gcm,Erk,p38,,Erk _||_ p38 | Raf,0.9291553886508106,1,FALSE
gcm,Erk,JNK,,Erk _||_ JNK | Raf,0.19551775707228392,1,FALSE
gcm,Akt,p38,,Akt _||_ p38 | Raf,0.8985747137440742,1,FALSE
gcm,Akt,JNK,,Akt _||_ JNK | Raf,0.4325665239612707,1,FALSE
gcm,JNK,p38,,JNK _||_ p38 | Raf,0.9566956464415907,1,FALSE
pcm,PLCg,Raf,,PLCg _||_ Raf | Mek,0.8379010558764319,1,FALSE
pcm,PIP2,Raf,,PIP2 _||_ Raf | Mek,0.6865374863070772,1,FALSE
pcm,PIP3,Raf,,PIP3 _||_ Raf | Mek,0.8697976803548421,1,FALSE
pcm,Erk,Raf,,Erk _||_ Raf | Mek,0.6436713513774164,1,FALSE
pcm,Akt,Raf,,Akt _||_ Raf | Mek,0.36318196599470864,1,FALSE
pcm,p38,Raf,,p38 _||_ Raf | Mek,0.2990425085337687,1,FALSE
pcm,JNK,Raf,,JNK _||_ Raf | Mek,0.01158284956119593,0.4053997346418575,FALSE
pcm,Mek,PLCg,,Mek _||_ PLCg | Raf,0.7294695777904905,1,FALSE
pcm,Mek,PIP2,,Mek _||_ PIP2 | Raf,0.757905335149899,1,FALSE
pcm,Mek,PIP3,,Mek _||_ PIP3 | Raf,0.7814935074630929,1,FALSE
pcm,Akt,Mek,,Akt _||_ Mek | Erk,0.39310853310468563,1,FALSE
pcm,Mek,p38,,Mek _||_ p38 | Raf,0.9859221210798446,1,FALSE
pcm,JNK,Mek,,JNK _||_ Mek | Raf,0.3544152894804813,1,FALSE
pcm,Erk,PLCg,,Erk _||_ PLCg | Raf,0.47780668030199047,1,FALSE
pcm,Akt,PLCg,,Akt _||_ PLCg | Raf,0.5357670975008573,1,FALSE
pcm,PKA,PLCg,,PKA _||_ PLCg | Raf,0.9918939549506198,1,FALSE
pcm,PKC,PLCg,,PKC _||_ PLCg | Raf,0.22400345157530555,1,FALSE
pcm,p38,PLCg,,p38 _||_ PLCg | Raf,0.928545244405743,1,FALSE
pcm,JNK,PLCg,,JNK _||_ PLCg | Raf,0.12902349400276547,1,FALSE
pcm,Erk,PIP2,,Erk _||_ PIP2 | Raf,0.014237086779111174,0.48406095048977993,FALSE
pcm,Akt,PIP2,,Akt _||_ PIP2 | Raf,0.2900813000058481,1,FALSE
pcm,PIP2,PKA,,PIP2 _||_ PKA | Raf,0.1263079777546765,1,FALSE
pcm,PIP2,PKC,,PIP2 _||_ PKC | Raf,0.03157598491713376,1,FALSE
pcm,p38,PIP2,,p38 _||_ PIP2 | Raf,0.024527512248741723,0.8094079042084769,FALSE
pcm,JNK,PIP2,,JNK _||_ PIP2 | Raf,0.5478898027331391,1,FALSE
pcm,Erk,PIP3,,Erk _||_ PIP3 | Raf,0.5877979980154641,1,FALSE
pcm,Akt,PIP3,,Akt _||_ PIP3 | Raf,0.7632583505580621,1,FALSE
pcm,PIP3,PKA,,PIP3 _||_ PKA | Raf,0.7797866409905485,1,FALSE
pcm,PIP3,PKC,,PIP3 _||_ PKC | Raf,0.8288112788078617,1,FALSE
pcm,p38,PIP3,,p38 _||_ PIP3 | Raf,0.6553448316544729,1,FALSE
pcm,JNK,PIP3,,JNK _||_ PIP3 | Raf,0.9348173690610124,1,FALSE
pcm,Erk,p38,,Erk _||_ p38 | Raf,0.9518800373343401,1,FALSE
pcm,Erk,JNK,,Erk _||_ JNK | Raf,0.43659407984776066,1,FALSE
pcm,Akt,p38,,Akt _||_ p38 | Raf,0.7017950606995664,1,FALSE
pcm,Akt,JNK,,Akt _||_ JNK | Raf,0.27707044749679977,1,FALSE
pcm,JNK,p38,,JNK _||_ p38 | Raf,0.0047972514193384,0.1727010510961824,FALSE
