test,CI,p.value,adj.p.value,rejected
gcm,"Akt _||_ JNK | PKA, PKC",0.5095467621654011,1,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",0.14953562969156664,1,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",0.2691489445898223,1,FALSE
gcm,"Akt _||_ Mek | Erk, PKA",0.10835073673679985,1,FALSE
gcm,"Akt _||_ PKC | Mek, PKA",0.9661031031353841,1,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",0.7343328677422558,1,FALSE
gcm,"Akt _||_ Raf | Mek, PKA",0.15953155661049156,1,FALSE
gcm,"Akt _||_ Raf | Erk, PKA",0.7618907915459663,1,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",0.7313514858892204,1,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",0.7551265964721593,1,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",0.4222488271372613,1,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",0.8245189186370772,1,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",0.3793087538195077,1,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",0.7630775884181342,1,FALSE
gcm,"Erk _||_ Raf | Mek, PKA",0.05399486082740512,1,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",0.6819198193304239,1,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",0.4697129054687319,1,FALSE
gcm,"JNK _||_ Mek | PKA, PKC",0.0790883039012461,1,FALSE
gcm,"JNK _||_ Raf | PKA, PKC",0.4451403710769174,1,FALSE
gcm,"JNK _||_ p38 | PKA, PKC",9.314078256439373e-7,2.049097216416662e-5,TRUE
gcm,"Mek _||_ p38 | PKA, PKC",0.03216814862102768,0.6755311210415813,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.04010643735682873,0.8021287471365746,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",0.16210333831531776,1,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",0.15408608182251504,1,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",0.799454793976186,1,FALSE
pcm,"Akt _||_ Mek | Erk, PKA",0.5572534670119831,1,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",0.8884425800591751,1,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",0.8889774031308095,1,FALSE
pcm,"Akt _||_ Raf | Mek, PKA",0.7125588203373386,1,FALSE
pcm,"Akt _||_ Raf | Erk, PKA",0.6312662353200897,1,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.9288674222534539,1,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",0.604347314736451,1,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",0.4851100923777545,1,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",0.946155437175513,1,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",0.6570001439548323,1,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",0.861450025838671,1,FALSE
pcm,"Erk _||_ Raf | Mek, PKA",0.7332923209572977,1,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",0.037313975516191644,0.7835934858400245,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",0.5878598854527483,1,FALSE
pcm,"JNK _||_ Mek | PKA, PKC",0.08480494955310713,1,FALSE
pcm,"JNK _||_ Raf | PKA, PKC",0.14582345743405267,1,FALSE
pcm,"JNK _||_ p38 | PKA, PKC",9.321937111117506e-9,2.0508261644458514e-7,TRUE
pcm,"Mek _||_ p38 | PKA, PKC",0.08352076158900756,1,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",0.9841100223426565,1,FALSE
