test,CI,p.value,adj.p.value,rejected
gcm,Raf _||_ PLCg | ∅,0.7342866703472655,1,FALSE
gcm,Raf _||_ PIP2 | ∅,0.7144846017246735,1,FALSE
gcm,Raf _||_ PIP3 | ∅,0.4636546670938385,1,FALSE
gcm,"Raf _||_ Erk | Mek, PKA",0.04040392644681945,1,FALSE
gcm,"Raf _||_ Akt | Mek, PKA",0.14451037840405745,1,FALSE
gcm,"Raf _||_ Akt | Erk, PKA",0.7304589377545638,1,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.03220388541400332,1,FALSE
gcm,"Raf _||_ JNK | PKA, PKC",0.40845231404176674,1,FALSE
gcm,Mek _||_ PLCg | ∅,0.9899709791117733,1,FALSE
gcm,Mek _||_ PIP2 | ∅,0.6354395619990947,1,FALSE
gcm,Mek _||_ PIP3 | ∅,0.10210929270998426,1,FALSE
gcm,"Mek _||_ Akt | Erk, PKA",0.09732062949655751,1,FALSE
gcm,"Mek _||_ p38 | PKA, PKC",0.021815395544716898,0.9816927995122604,FALSE
gcm,"Mek _||_ JNK | PKA, PKC",0.06923828696851242,1,FALSE
gcm,PLCg _||_ Erk | ∅,0.2555369407319502,1,FALSE
gcm,PLCg _||_ Akt | ∅,0.543635738185297,1,FALSE
gcm,PLCg _||_ PKA | ∅,0.5205539643262468,1,FALSE
gcm,PLCg _||_ PKC | ∅,0.6366836918887498,1,FALSE
gcm,PLCg _||_ p38 | ∅,0.792122372590489,1,FALSE
gcm,PLCg _||_ JNK | ∅,0.18764000158556948,1,FALSE
gcm,PIP2 _||_ Erk | ∅,0.2598003254153832,1,FALSE
gcm,PIP2 _||_ Akt | ∅,0.6637768937895567,1,FALSE
gcm,PIP2 _||_ PKA | ∅,0.31135322669465604,1,FALSE
gcm,PIP2 _||_ PKC | ∅,0.5986649435005229,1,FALSE
gcm,PIP2 _||_ p38 | ∅,0.6232187135195029,1,FALSE
gcm,PIP2 _||_ JNK | ∅,0.781878191814072,1,FALSE
gcm,PIP3 _||_ Erk | ∅,0.5335059871064955,1,FALSE
gcm,PIP3 _||_ Akt | ∅,0.3658506824868888,1,FALSE
gcm,PIP3 _||_ PKA | ∅,0.7532511238732338,1,FALSE
gcm,PIP3 _||_ PKC | ∅,0.735243962731639,1,FALSE
gcm,PIP3 _||_ p38 | ∅,0.899515277364539,1,FALSE
gcm,PIP3 _||_ JNK | ∅,0.4321349060674381,1,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",0.7067480617079605,1,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",0.5478312938069543,1,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",0.5875707231627707,1,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",0.46074856501999306,1,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",0.852332775322839,1,FALSE
gcm,"Akt _||_ PKC | Mek, PKA",0.9639170918554851,1,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",0.8490028519227902,1,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",0.7114536788769097,1,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",0.38327418069383346,1,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",0.5832627192819776,1,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",0.10327672848720604,1,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",0.25239879713743496,1,FALSE
gcm,"Akt _||_ JNK | PKA, PKC",0.5031364756570536,1,FALSE
gcm,"p38 _||_ JNK | PKA, PKC",1.339475390715883e-6,6.161586797293062e-5,TRUE
pcm,Raf _||_ PLCg | ∅,0.05008636577295156,1,FALSE
pcm,Raf _||_ PIP2 | ∅,0.24263724578670576,1,FALSE
pcm,Raf _||_ PIP3 | ∅,0.2627636726863394,1,FALSE
pcm,"Raf _||_ Erk | Mek, PKA",0.9643533501682309,1,FALSE
pcm,"Raf _||_ Akt | Mek, PKA",0.016239075897072408,0.7307584153682584,FALSE
pcm,"Raf _||_ Akt | Erk, PKA",0.7888065353413888,1,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",0.22981817294021079,1,FALSE
pcm,"Raf _||_ JNK | PKA, PKC",0.2763488247343491,1,FALSE
pcm,Mek _||_ PLCg | ∅,0.9743975638884147,1,FALSE
pcm,Mek _||_ PIP2 | ∅,0.2783973974022895,1,FALSE
pcm,Mek _||_ PIP3 | ∅,0.37316544183386247,1,FALSE
pcm,"Mek _||_ Akt | Erk, PKA",0.6602688705915439,1,FALSE
pcm,"Mek _||_ p38 | PKA, PKC",0.8398330955808292,1,FALSE
pcm,"Mek _||_ JNK | PKA, PKC",0.2593897940007708,1,FALSE
pcm,PLCg _||_ Erk | ∅,0.8484780065892382,1,FALSE
pcm,PLCg _||_ Akt | ∅,0.3185955930404789,1,FALSE
pcm,PLCg _||_ PKA | ∅,0.31010629292373815,1,FALSE
pcm,PLCg _||_ PKC | ∅,0.3461823584734923,1,FALSE
pcm,PLCg _||_ p38 | ∅,0.1552292157416747,1,FALSE
pcm,PLCg _||_ JNK | ∅,0.7038412686622201,1,FALSE
pcm,PIP2 _||_ Erk | ∅,0.4784228897976476,1,FALSE
pcm,PIP2 _||_ Akt | ∅,0.9061859177146996,1,FALSE
pcm,PIP2 _||_ PKA | ∅,0.2639265544492241,1,FALSE
pcm,PIP2 _||_ PKC | ∅,0.19549777785526656,1,FALSE
pcm,PIP2 _||_ p38 | ∅,0.80738680019731,1,FALSE
pcm,PIP2 _||_ JNK | ∅,0.827639956301709,1,FALSE
pcm,PIP3 _||_ Erk | ∅,0.4813032358510767,1,FALSE
pcm,PIP3 _||_ Akt | ∅,0.8347368272379283,1,FALSE
pcm,PIP3 _||_ PKA | ∅,0.16598855730763606,1,FALSE
pcm,PIP3 _||_ PKC | ∅,0.897940770358516,1,FALSE
pcm,PIP3 _||_ p38 | ∅,0.4211643802522118,1,FALSE
pcm,PIP3 _||_ JNK | ∅,0.7619672043147244,1,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",0.7917694821476103,1,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",0.2911808867460982,1,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",0.2590194702328311,1,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",0.7563893785029333,1,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",0.4645703576160225,1,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",0.9561366402531306,1,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",0.8145024953551374,1,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",0.861559828579718,1,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",0.9396802202238053,1,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.7165530082494939,1,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",0.5282061188049272,1,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",0.06667003533895466,1,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",0.1847684279035463,1,FALSE
pcm,"p38 _||_ JNK | PKA, PKC",5.757307169895753e-7,2.6483612981520466e-5,TRUE
