test,CI,p.value,adj.p.value,rejected
gcm,"Akt _||_ JNK | PKA, PKC",0.5153558821201462,1,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",0.13280569383896235,1,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",0.2969353760759852,1,FALSE
gcm,"Akt _||_ Mek | Erk, PKA",0.10114570624874264,1,FALSE
gcm,"Akt _||_ PKC | Mek, PKA",0.8969566829486885,1,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",0.8770739172197902,1,FALSE
gcm,"Akt _||_ Raf | Mek, PKA",0.1620400784160091,1,FALSE
gcm,"Akt _||_ Raf | Erk, PKA",0.7879196565084321,1,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",0.6001138298396749,1,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",0.6874695865651664,1,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",0.3944767021119543,1,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",0.9327133607081971,1,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",0.38467485467376283,1,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",0.7977340463090832,1,FALSE
gcm,"Erk _||_ Raf | Mek, PKA",0.05767503141924635,1,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",0.6615851294968285,1,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",0.47392547699787335,1,FALSE
gcm,"JNK _||_ Mek | PKA, PKC",0.06222293281019231,1,FALSE
gcm,"JNK _||_ Raf | PKA, PKC",0.5288171531062622,1,FALSE
gcm,"JNK _||_ p38 | PKA, PKC",2.510623554941027e-6,5.52337182087026e-5,TRUE
gcm,"Mek _||_ p38 | PKA, PKC",0.032059596880554486,0.6732515344916442,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.043082867667509905,0.8616573533501981,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",0.8260975393041979,1,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",0.6323680452141753,1,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",0.5800448074349716,1,FALSE
pcm,"Akt _||_ Mek | Erk, PKA",0.5705448624628109,1,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",0.4951118185616973,1,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",0.32393728859126414,1,FALSE
pcm,"Akt _||_ Raf | Mek, PKA",0.22386560383452592,1,FALSE
pcm,"Akt _||_ Raf | Erk, PKA",0.07367476222877434,1,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.022065174532126752,0.44130349064253505,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",0.5401989581060183,1,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",0.42613352326164555,1,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",0.27022771752495645,1,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",0.6996381346984403,1,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",0.8689537364980271,1,FALSE
pcm,"Erk _||_ Raf | Mek, PKA",0.011693170818307452,0.2455565871844565,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",0.47364579942908724,1,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",0.29561075751161625,1,FALSE
pcm,"JNK _||_ Mek | PKA, PKC",0.6317278311432097,1,FALSE
pcm,"JNK _||_ Raf | PKA, PKC",0.8289735900580025,1,FALSE
pcm,"JNK _||_ p38 | PKA, PKC",1.5971611810883246e-9,3.513754598394314e-8,TRUE
pcm,"Mek _||_ p38 | PKA, PKC",0.835414308321383,1,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",0.7100716980317006,1,FALSE
