test,CI,p.value,adj.p.value,rejected
gcm,"Akt _||_ JNK | PKA, PKC",0.14612905007529364,1,FALSE
gcm,"Akt _||_ JNK | Mek, PKA",0.8430510003674119,1,FALSE
gcm,"Akt _||_ JNK | Erk, PKA",0.27856443957258137,1,FALSE
gcm,"Akt _||_ Mek | Erk, PKA",0.5798462057466371,1,FALSE
gcm,"Akt _||_ PKC | Mek, PKA",0.4284371995822548,1,FALSE
gcm,"Akt _||_ PKC | Erk, PKA",0.43200681578548816,1,FALSE
gcm,"Akt _||_ Raf | Mek, PKA",0.8082405194078807,1,FALSE
gcm,"Akt _||_ Raf | Erk, PKA",0.30646107570439973,1,FALSE
gcm,"Akt _||_ p38 | PKA, PKC",0.9571137423946461,1,FALSE
gcm,"Akt _||_ p38 | Mek, PKA",0.9621385517775676,1,FALSE
gcm,"Akt _||_ p38 | Erk, PKA",0.8100436333086599,1,FALSE
gcm,"Erk _||_ JNK | PKA, PKC",0.3049543910268693,1,FALSE
gcm,"Erk _||_ JNK | Mek, PKA",0.8251026029513389,1,FALSE
gcm,"Erk _||_ PKC | Mek, PKA",0.20009181536048692,1,FALSE
gcm,"Erk _||_ Raf | Mek, PKA",0.02818389647248143,0.5636779294496286,FALSE
gcm,"Erk _||_ p38 | PKA, PKC",0.4835934136672906,1,FALSE
gcm,"Erk _||_ p38 | Mek, PKA",0.519526096153951,1,FALSE
gcm,"JNK _||_ Mek | PKA, PKC",0.051511238494059364,0.9787135313871279,FALSE
gcm,"JNK _||_ Raf | PKA, PKC",0.798259885778486,1,FALSE
gcm,"JNK _||_ p38 | PKA, PKC",0.42937058957606544,1,FALSE
gcm,"Mek _||_ p38 | PKA, PKC",0.020063806026618947,0.4213399265589979,FALSE
gcm,"Raf _||_ p38 | PKA, PKC",0.0054163179566759645,0.11915899504687122,FALSE
pcm,"Akt _||_ JNK | PKA, PKC",0.5712005406222836,1,FALSE
pcm,"Akt _||_ JNK | Mek, PKA",0.4596481135923094,1,FALSE
pcm,"Akt _||_ JNK | Erk, PKA",0.21761364301070474,1,FALSE
pcm,"Akt _||_ Mek | Erk, PKA",0.08557620642844355,1,FALSE
pcm,"Akt _||_ PKC | Mek, PKA",0.6489220837553895,1,FALSE
pcm,"Akt _||_ PKC | Erk, PKA",0.9771865975957428,1,FALSE
pcm,"Akt _||_ Raf | Mek, PKA",0.9636057506732264,1,FALSE
pcm,"Akt _||_ Raf | Erk, PKA",0.40036111410474173,1,FALSE
pcm,"Akt _||_ p38 | PKA, PKC",0.35828782623744004,1,FALSE
pcm,"Akt _||_ p38 | Mek, PKA",0.12500725663300893,1,FALSE
pcm,"Akt _||_ p38 | Erk, PKA",0.10437688977613269,1,FALSE
pcm,"Erk _||_ JNK | PKA, PKC",0.9237636432424275,1,FALSE
pcm,"Erk _||_ JNK | Mek, PKA",0.6874958170654882,1,FALSE
pcm,"Erk _||_ PKC | Mek, PKA",0.6368398451015116,1,FALSE
pcm,"Erk _||_ Raf | Mek, PKA",0.5458680983425922,1,FALSE
pcm,"Erk _||_ p38 | PKA, PKC",0.13277645382155256,1,FALSE
pcm,"Erk _||_ p38 | Mek, PKA",0.72742420353002335,1,FALSE
pcm,"JNK _||_ Mek | PKA, PKC",0.9468813670660345,1,FALSE
pcm,"JNK _||_ Raf | PKA, PKC",0.7978542808590141,1,FALSE
pcm,"JNK _||_ p38 | PKA, PKC",0.6009832575559355,1,FALSE
pcm,"Mek _||_ p38 | PKA, PKC",0.6423452496559228,1,FALSE
pcm,"Raf _||_ p38 | PKA, PKC",0.5747944736951958,1,FALSE
